Artist,Birth,Death,Age,Alive?,Art Title,DoC,Currency,price,low_estimate,high_estimate,Sold,Est Accuracy,Dimentions,close date,Auction Title,closeMonth,closeYear,popularity
arman ,1928,2005,77,0,Sans titre,0,USD,787.5,1260,1890,1,-1,(13 5/8 x 21¼ in.),26,"DAGNY ET JAN RUNNQVIST, GALERIE BONNIER, UN DEMI-SIÈCLE DE PASSION ET D'ENGAGEMENTS ARTISTIQUES",10,13,"3,260,000"
andy warhol ,1928,1987,59,0,Marilyn Monroe (Marilyn): one print,0,USD,100000,80000,120000,1,0,(914 x 914 mm.),23,PRINTS & MULTIPLES,10,19,"3,310,000"
pablo picasso ,1881,1973,92,0,Verve,0,USD,68750,30000,50000,1,1,(35.6 x 26.5 cm.),16,IMPRESSIONIST AND MODERN ART WORKS ON PAPER,5,18,"469,000"
walter leblanc ,1932,1986,54,0,Twisted Strings TX. 171,1971,USD,87937.5,73500,94500,1,0,0,1,POST-WAR & CONTEMPORARY ART,5,19,"496,000"
bernard buffet ,1928,1999,71,0,Compotier sur un plateau,1991,USD,91562.5,75000,100000,1,0,(73 x 92 cm.),21,IMPRESSIONIST/MODERN DAY SALE,6,12,"131,000"
jean paul riopelle ,1923,2002,79,0,P.M.12,1960,USD,595350,52500,73500,1,1,0,13,COLLECTION JACQUELINE MATISSE MONNIER,4,22,"67,500"
gavin turk ,1967,0,55,1,Cave,1997,USD,62500,50000,75000,1,0,(on the reverse),30,POST-WAR AND CONTEMPORARY ART DAY AUCTION,6,16,"205,000"
paul cezanne ,1839,1906,67,0,Autoportrait,0,USD,1718.75,1500,2250,1,0,(and similar),4,PRINTS & MULTIPLES,12,14,"105,000"
tom wesselmann ,1931,2004,73,0,Monica with Wesselmann,1992,USD,234375,150000,225000,1,1,(162.5 x 122.5cm.),7,POST-WAR AND CONTEMPORARY ART DAY AUCTION,10,17,"134,000"
d'apres piet mondrian ,1872,1944,72,0,Mondrian,0,USD,6562.5,5250,7350,1,0,0,9,Collection Greta Stroeh : Hommage à Arp,6,20,"410,000"
andy warhol ,1928,1987,59,0,Knives,1981,USD,3015000,1600000,2000000,1,1,(228.6 x 177.8 cm.),14,POST-WAR AND CONTEMPORARY ART MORNING SESSION,11,19,"3,310,000"
francis bacon ,1909,1992,83,0,Two Men Working in a Field,1971,USD,13403125,8750000,12500000,1,1,(198 x 147cm.),30,POST-WAR AND CONTEMPORARY ART EVENING AUCTION,6,15,"560,000"
lynn chadwick,1914,2003,89,0,Sitting Figures on Stripes,0,USD,5000,1875,3125,1,1,(19 x 28.2 cm.),11,MODERN BRITISH ART DAY SALE,7,13,"501,000"
giorgio de chirico ,1888,1978,90,0,i) Il primo a traversarlo fu l'Ippogrifo quando portò Ruggero... ii) ... Ma quasi in grembo a Ruggero,0,USD,15625,15000,22500,1,0,(21 x 15.5 cm.),6,IMPRESSIONIST AND MODERN WORKS ON PAPER,2,20,"161,000"
emil nolde ,1867,1956,89,0,Porträt eines Mädchens (schwarzes Haar),0,USD,200000,80000,120000,1,1,(47.1 x 36 cm.),12,IMPRESSIONIST AND MODERN ART WORKS ON PAPER,11,18,"39,000"
alighiero boetti ,1940,1994,54,0,Mappa,1990,USD,2167500,800000,1200000,1,1,(120.5 x 224.8 cm.),15,POST-WAR & CONTEMPORARY ART EVENING SALE,11,16,"51,100"
alberto giacometti ,1901,1966,65,0,Portrait de Soshana,1958,USD,46875,25000,37500,1,1,(51.2 x 32.8 cm.),23,IMPRESSIONIST & MODERN ART WORKS ON PAPER,6,16,"65,600"
"j. child, circa 1810",1759,1806,47,0,"Bust of William Pitt the Younger (1759-1806), en brunaille",0,USD,781.25,1250,1875,1,-1,(73.2 x 66 cm.),21,Jasper Conran: The Collection Part II,9,21,"76,100,000"
wifredo lam ,1902,1982,80,0,Untitled (Personnages),1958,USD,43750,25000,30000,1,1,(58.4 x 90 cm.),21,LATIN AMERICAN ART,11,19,"105,000"
howard hodgkin ,1932,2016,84,0,"As you'd been wont - Wantonly Wantonly Eros Past, from: The Way We Live Now",0,USD,1562.5,1250,1875,1,0,0,26,Contemporary Edition,9,18,"181,000"
andy warhol ,1928,1987,59,0,Flowers,1964,USD,8411750,6000000,9000000,1,0,(60.9 x 60.9 cm.),15,POST-WAR & CONTEMPORARY EVENING SALE,5,13,"3,310,000"
georges braque ,1882,1963,81,0,L'aquarium bleu,1960,USD,725000,300000,400000,1,1,(76.5 x 106.4 cm.),15,IMPRESSIONIST AND MODERN DAY SALE INCLUDING PROPERTY FROM THE JOHN C. WHITEHEAD COLLECTION,5,15,"110,000"
juan gris ,1887,1927,40,0,La Conferencia,1908,USD,336500,40000,60000,1,1,(45 x 31.5 cm.),10,"THE COLLECTION OF PEGGY AND DAVID ROCKEFELLER: FINE ART, DAY SALE",5,18,"52,200"
henry moore ,1898,1986,88,0,Apple Orchard in Winter,1977,USD,32500,15000,20000,1,1,(21.9 x 28.2 cm.),13,IMPRESSIONIST & MODERN ART WORKS ON PAPER,5,16,"122,000"
paul delvaux ,1897,1994,97,0,Les Trois femmes,1967,USD,15750,15750,21000,1,-1,0,28,"OEUVRES MODERNES SUR PAPIER, INCLUANT DES OEUVRES DE LA COLLECTION JEAN BONNA",3,19,"264,000"
christo ,1935,2020,85,0,"The Pont Neuf, Wrapped (Project for Paris)",1985,USD,183750,84000,126000,1,1,(i),3,POST WAR & CONTEMPORARY ART,6,21,"2,970,000"
sam francis ,1923,1994,71,0,Untitled,1969,USD,32500,30000,40000,1,0,(104.7 x 74.9 cm.),4,FIRST OPEN | POST-WAR AND CONTEMPORARY ART,3,16,"56,100"
richard caldicott ,1962,0,60,1,Untitled #61,1998,USD,10156.25,1875,3125,1,1,(127 x 101.6cm.),15,The George Michael Collection Online Auction,3,19,"24,700"
wolf kahn ,1927,0,95,1,Sauna Hut,1989,USD,6250,6000,8000,1,0,(56.5 x 75.6 cm.),22,American Art Online,5,18,"376,000"
tony cragg ,1949,0,73,1,Points of View,0,USD,111562.5,84000,126000,1,0,0,26,Post-War & Contemporary Art Online,11,20,"85,300"
hendrik willem mesdag ,1831,1915,84,0,Bomschuiten in the surf near the coast of Scheveningen,1870,USD,51450,42000,63000,1,0,0,5,IMPRESSIONIST AND MODERN ART,6,12,"20,200"
léonard tsuguharu foujita ,1886,1968,82,0,Portrait présumé de Jean Cocteau,1916,USD,7875,6300,8400,1,0,0,31,OEUVRES MODERNES SUR PAPIER,3,16,"17,300"
lucio fontana ,1899,1968,69,0,"Concetto spaziale, Natura",0,USD,127575,52500,73500,1,1,(10 5/8 x 8 5/8 x 9 7/8 in.),5,ART CONTEMPORAIN,6,13,"100,000"
jeffrey steele ,1931,0,91,1,Lolovo,1964,USD,17968.75,10000,15000,1,1,(30.5 x 40.7 cm.),20,MODERN BRITISH ART DAY SALE,11,18,"1,150,000"
beauford delaney ,1901,1979,78,0,Abstraction No. 4,0,USD,387000,100000,150000,1,1,(129.5 x 96.8 cm.),28,POST-WAR TO PRESENT,2,19,"50,000"
henry moore ,1898,1986,88,0,Seated Figures (recto and verso),1950,USD,75000,50000,70000,1,1,(29 x 23.6 cm.),14,IMPRESSIONIST AND MODERN ART WORKS ON PAPER SALE,11,17,"122,000"
diego rivera ,1886,1957,71,0,Niña con flores amarillas,1950,USD,106250,60000,80000,1,1,(38.7 x 27.9 cm.),21,LATIN AMERICAN ART,11,18,"116,000"
albert lebourg ,1849,1928,79,0,La Mère et l'enfant sur un banc,0,USD,5250,2100,3150,1,1,0,18,ART MODERNE,10,19,"23,500"
yves saint laurent ,1936,2008,72,0,Untitled,0,USD,75000,3750,5000,1,1,(27.1 x 21.4cm.),19,First Open: Post-War & Contemporary Art Online,10,21,"535,000"
francisco zúñiga ,1912,1998,86,0,Coloquio,1979,USD,150000,150000,200000,1,-1,(119.4 x 182.9 x 97.2 cm.),13,LATIN AMERICAN ART,11,20,"702,000"
patrick heron ,1920,1999,79,0,"Two Blue Areas, One Red Disc : February 1962",0,USD,59375,25000,37500,1,1,(25.7 x 35.9 cm.),21,MODERN | BRITISH ART,11,19,"633,000"
sir peter blake,1932,0,90,1,Calendar: February,0,USD,12500,6250,10000,1,1,(14.9 x 10.5 cm.),26,"MODERN BRITISH AND IRISH ART DAY SALE, LONDON",6,15,"605,000"
moise kisling ,1891,1953,62,0,Vase de fleurs,1947,USD,56250,40000,60000,1,0,(39.8 x 33.2 cm.),17,IMPRESSIONIST & MODERN ART DAY SALE,11,16,"22,800"
robert motherwell ,1915,1991,76,0,Djarum,0,USD,8125,2000,3000,1,1,(813 x 533 mm.),8,Robert Motherwell Prints from the Dedalus Foundation,10,20,"174,000"
erich heckel ,1883,1970,87,0,Three Nudes in a Forest,1923,USD,14062.5,10000,15000,1,0,(15.5 x 10.5 cm.),19,IMPRESSIONIST AND MODERN WORKS ON PAPER,6,19,"54,700"
joseph cornell ,1903,1972,69,0,Untitled (Glass Bell),0,USD,1205000,500000,700000,1,1,(40 x 21.9 x 21.9 cm.),13,POST-WAR AND CONTEMPORARY EVENING SALE,5,14,"4,100,000"
henri matisse ,1869,1954,85,0,Nu au Collier,0,USD,6250,2500,3750,1,1,0,17,Modern Edition Online,5,18,"253,000"
eric manigaud ,1971,0,51,1,Portrait Clinique #11 (Clinical Portrait #11),2010,USD,3437.5,3750,6250,1,-1,(173 x 138cm.),28,Handpicked: 100 Works Selected by the Saatchi Gallery,5,20,"5,350"
pablo picasso ,1881,1973,92,0,Motifs n° 45 (A.R. 465),1963,USD,7031.25,5000,7500,1,0,0,17,Picasso Ceramics,9,20,"470,000"
fernand léger ,1881,1955,74,0,Étude pour «Femmes au perroquet»,1940,USD,78225,73500,105000,1,0,0,21,ART MODERNE,10,16,"299,000"
magdalena abakanowicz ,1930,2017,87,0,Back,1984,USD,32500,15000,20000,1,1,(65.4 x 55.6 x 55.9 cm.),17,First Open | Online,7,19,"41,600"
pablo picasso ,1881,1973,92,0,"Le Repos du Sculpteur, IV, from La Suite Vollard",0,USD,16250,12000,18000,1,0,(194 x 270 mm.),24,PRINTS AND MULTIPLES,10,14,"470,000"
adam mcewen ,1965,0,57,1,Commission #2: Friedrich (15),2011,USD,32500,18000,25000,1,1,(50.8 x 71.1 cm.),8,FIRST OPEN,3,13,"149,000"
gerald leslie brockhurst ,1890,1978,88,0,Adolescence (Kathleen Nancy Woodward),0,USD,14062.5,8750,12500,1,1,0,18,PRINTS & MULTIPLES,9,19,"33,500"
mary fedden,1915,2012,97,0,Jocelyn's Egg Stand,0,USD,50000,18750,31250,1,1,(76.2 x 91.4 cm.),20,MODERN BRITISH AND IRISH ART,3,14,"17,000"
alighiero boetti ,1940,1994,54,0,Mappa,1979,USD,1083125,562500,812500,1,1,(92 x 130cm.),11,EYES WIDE OPEN: AN ITALIAN VISION,2,14,"51,100"
francisco de goya y lucientes ,1746,1828,82,0,Out hunting for teeth (A caza de dientes) Plate 12 from: Los Caprichos,0,USD,3750,3000,5000,1,0,(213 x 149 mm.),23,The Sleep of Reason: Francisco Goya’s Los Caprichos,10,20,"106,000"
gunther gerzso ,1915,2000,85,0,Personaje,1989,USD,8125,6000,8000,1,1,(32.1 x 18.1 cm.),18,Latin American Art Online,11,20,"13,000"
zygmund menkes ,1896,1986,90,0,Music,0,USD,6250,4375,5625,1,1,(61.5 x 50.8 cm.),25,IMPRESSIONIST/MODERN,10,12,"647,000"
michelangelo pistoletto ,1933,0,89,1,Il Presente. Figura su sfondo nero V (The Present. Figure on a Black Ground V),1961,USD,753125,437500,687500,1,1,(200 x 150cm.),11,POST-WAR AND CONTEMPORARY ART EVENING AUCTION,2,16,"77,200"
peter alma ,1886,1969,83,0,A still life with a cup and jars,1916,USD,10500,10500,15750,1,-1,0,10,MODERN ART,12,13,"11,100"
louis roy ,1862,1907,45,0,Paysanne à la moisson,1891,USD,49875,31500,52500,1,0,0,29,IMPRESSIONIST & MODERN ART,3,19,"34,700"
george grosz ,1893,1959,66,0,Der Kaiser,0,USD,25000,6000,8000,1,1,(30.5 x 19.7 cm.),11,Form and Fantasy,6,20,"47,100"
sanyu ,1901,1966,65,0,Femme nue aux longues jambes,0,USD,55125,21000,31500,1,1,0,3,POST WAR & CONTEMPORARY ART,6,21,"368,000"
andré lhote ,1885,1962,77,0,"Étude pour ""Léda""",1932,USD,81375,52500,73500,1,1,0,18,ART MODERNE,10,18,"158,000"
grayson perry ,1960,0,62,1,Untitled,0,USD,4687.5,3750,6250,1,0,(10 x 20.3 x 20.3cm.),12,POST-WAR AND CONTEMPORARY ART,9,12,"179,000"
max ernst ,1891,1976,85,0,Ohne Titel,0,USD,5937.5,5000,7500,1,0,(33.5 x 26.5 cm.),1,Modern Edition: Works on Paper and Prints,7,20,"53,500"
"stanhope alexander forbes, n.e.a.c. ",1857,1947,90,0,Desirée at the Piano,0,USD,5937.5,3750,6250,1,0,(46.4 x 31.8 cm.),12,VICTORIAN & BRITISH IMPRESSIONIST ART,7,12,"32,700"
daan van golden ,1936,2017,81,0,Untitled,1960,USD,6562.5,3150,5250,1,1,0,18,Post-War & Contemporary Art: Amsterdam,6,20,"43,000"
rufino tamayo ,1899,1991,92,0,Personajes con pájaros,1988,USD,5625,5000,7000,1,0,(111.1 x 90.2 cm.),28,Latin American Art Online,11,18,"131,000"
laurence stephen lowry,1887,1976,89,0,Beach Scene,0,USD,203125,162500,225000,1,0,(26 x 35.5 cm.),2,People Watching: The Art of L.S. Lowry,7,20,"26,100"
graham bell ,1910,1943,33,0,The Painter's Hand with Bay Leaves,1938,USD,2187.5,1875,2500,1,0,(25.3 x 35.6 cm.),23,Modern/British & Irish Art,11,18,"147,000"
william scott,1913,1989,76,0,Six Pears and Grapes,1974,USD,171875,100000,150000,1,1,(63.5 x 76.2 cm.),2,MODERN BRITISH ART DAY SALE,3,21,"278,000"
shara hughes ,1981,0,41,1,Secret Office,2010,USD,265625,31250,43750,1,1,(152.7 x 121.9cm.),5,POST-WAR AND CONTEMPORARY ART DAY AUCTION,10,19,"121,000"
günther förg ,1952,2013,61,0,Untitled,1997,USD,55125,47250,57750,1,0,0,12,POST-WAR AND CONTEMPORARY ART,4,17,"99,400"
james mcneill whistler ,1834,1903,69,0,"Bridge, Amsterdam",1989,USD,81250,60000,80000,1,1,(165 x 242 mm.),24,PRINTS AND MULTIPLES,4,14,"213,000"
inez van lamsweerde  and vinoodh matadin ,1963,0,59,1,"Kate/Bride, 'W' Magazine, 2003",0,USD,23750,10000,15000,1,1,(55.3 x 43cm.),29,TRIPLE XXX: PHOTOGRAPHS FROM THE COLLECTION OF DON SANDERS,9,14,"66,500"
samuel john lamorna birch ,1869,1955,86,0,"The gorge from Tillyfourie gates on the Don, Aberdeenshire",0,USD,8593.75,7500,10000,1,0,(50.8 x 76.2 cm.),19,"VICTORIAN, PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART",6,14,"12,500"
sir william russell flint. ,1880,1969,89,0,Alycia reclining,0,USD,39062.5,25000,37500,1,1,(22.2 x 36.8 cm.),11,"VICTORIAN, PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART",12,14,"51,300"
bob thompson ,1937,1966,29,0,Judgement of Paris (Cranach),1963,USD,50000,18000,25000,1,1,(25.4 x 20.3 cm.),17,FIRST OPEN: SUMMER EDITION,7,13,"8,260,000"
archibald thorburn ,1860,1935,75,0,"On the river, winter",0,USD,28125,6250,10000,1,1,(35.6 x 26.7 cm.),12,SPORTING & WILDLIFE ART,12,12,"26,400"
pablo picasso ,1881,1973,92,0,Ovale à l'oeil B (A.R. 624),0,USD,2750,700,1000,1,1,(15 x 15 cm.),7,Picasso Ceramics,12,20,"469,000"
amy sillman ,1955,0,67,1,B,2007,USD,171875,150000,225000,1,0,(114.3 x 99cm.),5,POST WAR AND CONTEMPORARY ART DAY AUCTION,10,18,"29,500"
raoul dufy ,1877,1953,76,0,Voiliers dans le port de Deauville,1935,USD,314500,300000,500000,1,0,(65 x 81.3 cm.),8,IMPRESSIONIST AND MODERN ART DAY SALE,11,12,"51,000"
lucio fontana ,1899,1968,69,0,Concetto spaziale,1965,USD,281250,225000,312500,1,0,(25 x 25 x 25cm.),12,POST-WAR AND CONTEMPORARY ART EVENING SALE,2,20,"100,000"
tom wesselmann ,1931,2004,73,0,Nude (For Sedfre),0,USD,5625,5000,8000,1,0,(429 x 584 mm.),21,Contemporary Edition,9,17,"134,000"
rembrandt harmensz. van rijn ,1606,1669,63,0,Man at a Desk wearing a Cross and Chain,0,USD,10937.5,10000,15000,1,0,0,14,OLD MASTER PRINTS,12,17,"51,300"
francis bacon ,1909,1992,83,0,House in Barbados,1952,USD,751562.5,750000,1000000,1,0,(66.2 x 55cm.),27,POST-WAR AND CONTEMPORARY ART EVENING AUCTION,6,12,"560,000"
marc chagall ,1887,1985,98,0,Fleurs de Vence ou Lilas sur Vence  ,1954,USD,1135937.5,562500,812500,1,1,(72.9 x 63.7 cm.),21,IMPRESSIONIST AND MODERN ART DAY SALE,6,18,"269,000"
raymond hains ,1926,2005,79,0,Untitled,1958,USD,26250,8400,12600,1,1,0,25,The Curator’s Eye: The Collection of Professor Dr Karin von Maur,5,21,"240,000"
d'après alexander calder ,1898,1976,78,0,"Les quatre disques noirs, Le modèle crée en 1971 édition Pinton frères",1971,USD,42000,6300,8400,1,1,0,8,Art Contemporain et Design - vente online,12,20,"30,100"
joseph christian leyendecker ,1874,1951,77,0,Arrow Collar Man,0,USD,50000,20000,30000,1,1,(40.6 x 30.5 cm.),21,AMERICAN ART,5,15,"26,400"
sol lewitt ,1928,2007,79,0,Five Open Geometric Sculptures,1979,USD,167343.75,100000,150000,1,1,(33.9 x 228.6 x 64.5cm.),25,POST-WAR AND CONTEMPORARY ART EVENING AUCTION,6,13,"81,100"
richard diebenkorn ,1922,1993,71,0,Untitled,1979,USD,250000,200000,300000,1,0,(93 x 74.6 cm.),27,POST-WAR TO PRESENT,9,19,"63,200"
jean dubuffet ,1901,1985,84,0,Heaume No. 2,1971,USD,68750,60000,80000,1,0,(30.8 x 43.2 x 29.5 cm.),3,POST-WAR AND CONTEMPORARY ART,3,17,"42,900"
thomas downing ,1928,1985,57,0,MIANDRIVAZO,1972,USD,27500,20000,30000,1,0,(188 x 396.2 cm.),20,First Open | Post-War & Contemporary Art,7,17,"1,150,000"
giorgio de chirico ,1888,1978,90,0,Una camera nel museo,0,USD,318125,250000,375000,1,0,(46.7 x 55.2cm.),16,THE ITALIAN SALE,10,14,"161,000"
nigel cooke ,1973,0,49,1,Silva Bereft,2003,USD,37500,25000,37500,1,1,(183 x 244cm.),20,First Open Online,9,18,"1,450,000"
andre derain ,1880,1954,74,0,"T. Petronius Arbiter, Le Satyricon, Aux dépens d'un amateur, Paris, 1951",0,USD,1250,3000,5000,1,-1,(there were also 26 artist's proof copies lettered A-Z),25,PRINTS & MULTIPLES,7,12,"42,900"
martin kippenberger  & albert oehlen ,1954,0,68,1,Untitled,1983,USD,5250,4200,6300,1,0,0,25,20th/21st Century: Amsterdam,11,21,"65,000"
pablo picasso ,1881,1973,92,0,Mandoline sur une table,1922,USD,4212500,4000000,6000000,1,0,(82.2 x 100.4 cm.),11,IMPRESSIONIST AND MODERN ART EVENING SALE INCLUDING PROPERTY FROM THE COLLECTION OF HERBERT AND ADELE KLAPPER,11,18,"470,000"
philibert cockx ,1879,1949,70,0,La dame en bleu,1918,USD,53970,42000,63000,1,0,0,5,IMPRESSIONIST AND MODERN ART,6,12,"1,190,000"
salvador dali ,1904,1989,85,0,CEil et lèvres,0,USD,130500,105000,150000,1,0,(3 x 5 in.),24,ASIAN AND WESTERN 20TH CENTURY & CONTEMPORARY ART,10,14,"413,000"
pablo picasso ,1881,1973,92,0,"Modèle et grande sculpture de dos, from: La Suite Vollard",0,USD,13281.25,7500,10000,1,1,0,16,Modern Edition,5,19,"470,000"
armand guillaumin ,1841,1927,86,0,La Seine à Ivry,0,USD,8137.5,8400,12600,1,-1,0,29,IMPRESSIONIST & MODERN ART,3,19,"39,800"
keith haring ,1958,1990,32,0,Pop Shop I: one print,0,USD,23750,15000,20000,1,1,(260 x 340 mm.),16,PRINTS & MULTIPLES,4,21,"163,000"
mary bauermeister ,1934,0,88,1,Peng-Cil,1966,USD,162500,40000,60000,1,1,(63.2 x 63.2 x 13.7 cm.),5,POST-WAR TO PRESENT,3,20,"30,900"
"sir william orpen, r.h.a. ",1878,1931,53,0,Night,0,USD,148437.5,62500,100000,1,1,(91.4 x 71.1 cm.),20,ANNABEL'S,11,18,"13,800"
simon hantai ,1922,2008,86,0,Panse,0,USD,43890,21000,31500,1,1,(27 3/8 x 21 in.),1,ART CONTEMPORAIN,6,12,"25,900"
jack lorimer gray ,1927,1981,54,0,Brooklyn Bridge with New York Skyline,0,USD,16250,15000,25000,1,0,(66 x 91.4 cm.),22,American Art Online,5,19,"42,900"
robert william wood ,1889,1979,90,0,Bluebonnets,0,USD,16250,6000,8000,1,1,(71.1 x 91.4 cm.),20,American Art Online,11,18,"7,520,000"
jorge jiménez deredia ,1954,0,68,1,Arrullo,2010,USD,47500,40000,60000,1,0,(50.8 x 82.6 x 49.5 cm.),28,LATIN AMERICAN ART,5,14,"2,200,000"
edward wadsworth,1889,1949,60,0,Les Plats du Jour,0,USD,85937.5,75000,100000,1,0,(53 x 38 cm.),22,MODERN BRITISH ART DAY SALE,1,20,"679,000"
rudolf stingel ,1956,0,66,1,Untitled,2010,USD,496562.5,312500,437500,1,1,(240.5 x 194cm.),28,POST-WAR AND CONTEMPORARY ART DAY AUCTION,6,12,"38,900"
gerard curtis delano ,1890,1972,82,0,The Proud People,0,USD,396500,300000,500000,1,0,(76.2 x 91.44 cm.),22,AMERICAN ART,5,18,"14,000"
fausto melotti ,1901,1986,85,0,Coppa,0,USD,11156.25,15750,21000,1,-1,0,16,20TH/21ST CENTURY MILAN EVENING SALE,11,21,"40,100"
michelangelo pistoletto ,1933,0,89,1,Lei e lui abbracciati (Michelangelo e Maria) (Her and him hugging (Michelangelo and Maria)),1968,USD,2203125,1000000,1500000,1,1,(230.2 x 120cm.),16,THE ITALIAN SALE,10,15,"77,200"
francis bacon ,1909,1992,83,0,Triptych 1983 (Centre Panel),0,USD,9375,7500,10000,1,0,0,16,Modern Edition,5,19,"560,000"
georges rouault ,1871,1958,87,0,"Femmes nues, Composition",1911,USD,85937.5,75000,100000,1,0,(63 x 87.3 cm.),21,IMPRESSIONIST AND MODERN WORKS ON PAPER,6,18,"46,200"
andré derain ,1880,1954,74,0,Trois nymphes se baignant,0,USD,28875,8400,12600,1,1,0,24,ART IMPRESSIONNISTE ET MODERNE,3,15,"116,000"
joan miro ,1893,1983,90,0,Trace Sur La Paroi II,0,USD,11875,10000,15000,1,0,(591 x 927 mm.),28,PRINTS & MULTIPLES,10,15,"279,000"
alex katz ,1927,0,95,1,Ada,1994,USD,9187.5,4200,6300,1,1,0,25,20th/21st Century: Amsterdam,11,21,"32,800"
ed ruscha ,1937,0,85,1,Stains,1969,USD,63000,31500,42000,1,1,0,25,20th/21st Century: Amsterdam,11,21,"290,000"
manolo millares ,1926,1972,46,0,El Grito,1966,USD,210000,105000,157500,1,1,0,20,COLLECTION GERARD VALKIER : A LIFETIME JOURNEY WITH ART.,10,21,"23,100"
winslow homer ,1836,1910,74,0,The Boat Builders,0,USD,701000,250000,350000,1,1,(24.1 x 33 cm.),22,AMERICAN ART,5,14,"88,200"
irving penn ,1917,2009,92,0,"Chanel Sequined Suit, New York, 1947",0,USD,22500,20000,30000,1,0,(37.5 x 38.6cm.),5,PHOTOGRAPHS,10,12,"173,000"
gerald laing ,1936,2011,75,0,Conception,1977,USD,0,62500,87500,0,-1,0,23,MODERN BRITISH AND IRISH ART DAY SALE,3,22,"96,400"
