Artist,Birth,Death,Art Title,DoC,Estimate,price,Dimentions,close date,Auction Title
Léon François Comerre ,French,1916,Femme au tambourin,0,"GBP 15,000 – GBP 20,000","GBP 43,750",(123 x 77 cm.),13 Jul 2017,"2017 | LIVE AUCTION 14234
19TH CENTURY EUROPEAN & ORIENTALIST ART"
Julian Schnabel ,1951,0,Untitled (The Misunderstood One),1986,"GBP 120,000 – GBP 180,000","GBP 236,750",(243.5 x 182.5cm.),5 Oct 2018,"2018 | LIVE AUCTION 15486
POST WAR AND CONTEMPORARY ART DAY AUCTION"
OTTO DIX ,1891,1969,Der Krieg,0,"GBP 50,000 – GBP 75,000","GBP 236,750",(and similar),19 Sep 2017,"2017 | LIVE AUCTION 13879
PRINTS AND MULTIPLES"
Giovanni Domenico Tiepolo ,Venice,1804,"A turbanned man holding an eagle, with subsidiary studies of his head and leg",0,"USD 7,000 – USD 10,000","USD 6,250",(29.4 x 20.8 cm.),27 Jan 2016,"2016 | LIVE AUCTION 11935
OLD MASTER AND BRITISH DRAWINGS"
Vida Gábor ,HUNGARIAN,1999,The haircut,0,"GBP 8,000 – GBP 12,000","GBP 16,250",(50 x 40.5 cm.),29 Jan 2014,"2014 | LIVE AUCTION 5123
19TH CENTURY EUROPEAN ART INCLUDING ORIENTALIST ART"
Louis Marcoussis ,1883,1941,Nature morte à la guitare,0,"EUR 50,000 – EUR 70,000","EUR 55,500",(14 7/8 x 11¼ in.),3 Dec 2013,"2013 | LIVE AUCTION 3567
ART IMPRESSIONNISTE ET MODERNE"
Alexander Calder ,1898,1976,Horizon,1973,"GBP 20,000 – GBP 30,000","GBP 34,850",(57.3 x 78.3cm.),12 Sep 2012,"2012 | LIVE AUCTION 6706
POST-WAR AND CONTEMPORARY ART"
A LONDON TRANSPORT ENAMEL UNDERGROUND SIGN FOR HAMPSTEAD,0,0,SECOND HALF 20TH CENTURY,0,"GBP 800 – GBP 1,200","GBP 1,000",(122 x 151 cm.),3 Sep 2012,"2012 | LIVE AUCTION 7858
THE LONDON SALE"
Elie Kanaan ,Lebanese,2009,St-Paul de Vence,1970,"USD 15,000 – USD 20,000","USD 15,000",(35 x 42cm.),20 Oct 2015,"2015 | LIVE AUCTION 1239
MODERN & CONTEMPORARY ART"
Sydney Lough Thompson ,New,1973,"Girl with Japanese umbrella, circa 1915",0,"GBP 10,000 – GBP 15,000","GBP 12,500",(61 x 51 cm.),12 Dec 2019,"2019 | LIVE AUCTION 17294
BRITISH ART: VICTORIAN, PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART"
Salvador Dalí ,1904,1989,Trompe l'oeil,1950,"GBP 50,000 – GBP 80,000","GBP 151,250",(33.3 x 24.5 cm.),21 Jun 2012,"2012 | LIVE AUCTION 5467
IMPRESSIONIST/MODERN WORKS ON PAPER"
Luc Tuymans ,0,0,Untitled,1996,"GBP 6,000 – GBP 8,000","GBP 5,000",(27 x 21cm.),5 Apr 2017,"2017 | LIVE AUCTION 14422
FIRST OPEN"
Garth Weiser ,1979,0,Two untitled works on paper,2007,"USD 1,000 - USD 2,000",USD 750,(26 x 17.8 cm.),26 Feb 2019,"20 Feb - 26 Feb 2019 | Online Auction 17028
On Paper | Online"
LARRY RIVERS ,1923,2002,Smithsonian Institute - National Collection of Fine Arts,0,"USD 1,000 - USD 1,500",USD 750,(762 x 522 mm.),19 Jul 2017,"11 Jul - 19 Jul 2017 | Online Auction 14543
Contemporary Edition"
"John Piper, C.H. ",1903,1992,"Green Landscape, Brimaston Hook, Pembrokeshire I",0,"GBP 7,000 – GBP 10,000","GBP 16,250",(54 x 75.6 cm.),21 Nov 2013,"2013 | LIVE AUCTION 1158
MODERN BRITISH AND IRISH ART DAY SALE"
NEIL RAITT ,0,0,Emerald Waters (Permanent Green Light),2016,"USD 3,000 - USD 5,000","USD 8,750",(99.7 x 69.9 cm.),23 Aug 2018,"13 Aug - 23 Aug 2018 | Online Auction 16385
Horizon | Post-War and Contemporary Art"
DAVID LACHAPELLE ,0,0,"Courtney Love; Pieta, 2006",0,"EUR 15,000 – EUR 20,000","EUR 18,750",(37 3/8 x 29½ in.),1 Jul 2014,"2014 | LIVE AUCTION 3609
PHOTOGRAPHS, ICONS & STYLE"
CY TWOMBLY ,1928,2011,Untitled,1961,Estimate on request,"USD 32,000,000",(199.1 x 230.5 cm.),11 Nov 2021,"2021 | LIVE AUCTION 20180
20TH CENTURY EVENING SALE"
"GEORGE JOHN PINWELL, R.W.S. ",BRITISH,1875,Vanity Fair,0,"GBP 5,000 - GBP 8,000","GBP 5,000",(59.7 x 111.1 cm.),29 Jul 2020,"7 Jul - 29 Jul 2020 | Online Auction 18829
British & European Art"
"Follower of Tiziano Vecellio, called Titian",0,0,Ecce Homo,0,"GBP 10,000 – GBP 15,000","GBP 52,500",(107.6 x 97.2 cm.),2 Nov 2016,"2016 | LIVE AUCTION 12307
OLD MASTER AND BRITISH PAINTINGS"
Ernest Procter ,1886,1935,The Judgement of Paris,0,"GBP 6,000 – GBP 8,000","GBP 11,875",(61 x 55.8 cm.),18 Dec 2012,"2012 | LIVE AUCTION 4079
PETER LANGAN: A LIFE WITH ART"
Fernando Botero ,1932,0,Horse,2003,"USD 500,000 – USD 700,000","USD 591,000",(98.4 x 94 x 50.8 cm.),30 Jul 2020,"2020 | LIVE AUCTION 18183
LATIN AMERICAN ART"
Pablo Picasso ,1881,1973,Courtisanes et toreros,0,"GBP 900,000 – GBP 1,200,000","GBP 1,208,750",(50.2 x 65.7 cm.),27 Feb 2018,"2018 | LIVE AUCTION 15469
IMPRESSIONIST AND MODERN ART EVENING SALE"
HENRI MATISSE ,1869,1954,Figure devant tapa africain,1935,"USD 6,000 - USD 8,000","USD 6,250",(533 x 435 mm.),6 Nov 2018,"30 Oct - 6 Nov 2018 | Online Auction 16473
Modern Edition"
Wade Guyton ,1972,0,Untitled (Action Sculpture),2005,"USD 80,000 – USD 120,000","USD 93,750",(110 x 60 x 80 cm.),12 May 2015,"2015 | LIVE AUCTION 3742
POST-WAR AND CONTEMPORARY ART DAY SALE SESSION I"
"Thomas Sidney Cooper, R.A. ",1803,1902,Cattle and sheep in a field,0,"GBP 4,000 – GBP 6,000","GBP 6,875",(42.6 x 53.4 cm.),12 Mar 2014,"2014 | LIVE AUCTION 5222
VICTORIAN & BRITISH IMPRESSIONIST ART"
Georges Rouault ,1871,1958,Carmen,0,"GBP 10,000 – GBP 15,000","GBP 17,500",(51.8 x 36.9 cm.),1 Mar 2017,"2017 | LIVE AUCTION 13487
IMPRESSIONIST AND MODERN WORKS ON PAPER"
Jean-Baptiste-Camille Corot ,French,Baptiste,Deux bataliers en rivière,1871,"USD 150,000 – USD 250,000","USD 187,500",(41.6 x 33 cm.),30 Apr 2019,"2019 | LIVE AUCTION 17106
EUROPEAN ART"
JOSEF ALBERS ,1888,1976,EA,0,"USD 800 - USD 1,200","USD 2,375",(260 x 352 mm.),16 Sep 2021,"2 Sep - 16 Sep 2021 | Online Auction 20747
A Graphic Dialogue: Prints from the Collection of Lois B. Torf Online"
"Veronese School, late 16th Century",0,0,The Madonna and Child (recto); and The Crucifixion with the Madonna and Mary Magdalene (verso),0,"GBP 3,000 – GBP 5,000","GBP 3,750",(36.2 x 25 cm.),2 Nov 2016,"2016 | LIVE AUCTION 12307
OLD MASTER AND BRITISH PAINTINGS"
JULIÃO SARMENTO ,0,0,Scar and Window,0,"GBP 800 - GBP 1,200",GBP 500,(52 x 41.2 cm.),26 Jul 2018,"19 Jul - 26 Jul 2018 | Online Auction 16999
Edition Gerd Hatje: Contemporary Photographs, Prints & Multiples"
CLAUDE PINET ,0,0,Vénus anadyomène,0,"EUR 6,000 – EUR 8,000","EUR 10,000",(37 1/8 x 29 7/8 in.),20 Jun 2018,"2018 | LIVE AUCTION 16485
TABLEAUX 1400 - 1900"
Robert Mangold ,1937,0,Irregular Yellow Orange Area with a Drawn Ellipse,1987,"GBP 150,000 – GBP 200,000","GBP 212,500",(134 x 101cm.),7 Mar 2019,"2019 | LIVE AUCTION 16936
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
Max Hofler ,1892,1963,"Low tide, Chelsea",0,GBP 600 – GBP 800,"GBP 1,500",(33 x 40.6 cm.),3 Sep 2012,"2012 | LIVE AUCTION 7858
THE LONDON SALE"
LUCIO FONTANA ,1899,1968,Concetto spaziale,1959,"GBP 12,000 - GBP 18,000","GBP 11,340",(12 x 9.5cm.),9 Mar 2022,"23 Feb - 9 Mar 2022 | Online Auction 20662
First Open: Post-War and Contemporary Art Online"
"SIR JOHN EVERETT MILLAIS, P.R.A. ",BRITISH,1896,"Nina, daughter of Frederick Lehmann, Esq.",0,"GBP 200,000 – GBP 300,000","GBP 500,000",(132.1 x 88.9 cm.),15 Jul 2021,"2021 | LIVE AUCTION 20111
BRITISH AND EUROPEAN ART"
Richard Pousette-Dart ,1916,Dart,Blood Wedding,1958,"USD 600,000 – USD 800,000","USD 2,629,000",(195.6 x 286.4 cm.),10 Nov 2015,"2015 | LIVE AUCTION 3790
POST-WAR AND CONTEMPORARY EVENING SALE"
Thomas Moran ,1837,1926,Indian Retreat,0,"USD 70,000 – USD 100,000","USD 62,500",(78.7 x 33 cm.),21 May 2015,"2015 | LIVE AUCTION 3744
AMERICAN ART"
Irving Penn ,1917,2009,"Callot Swallow-tail Dress, 1974",0,"USD 20,000 – USD 30,000","USD 81,250",(52 x 45.8cm.),31 Mar 2015,"2015 | LIVE AUCTION 3726
20/21 PHOTOGRAPHS"
Franz Marc ,1880,1916,Drei Pferde mit abstrakten Formen,1913,"GBP 50,000 – GBP 80,000","GBP 302,500",(12.1 x 15.3 cm.),25 Jun 2014,"2014 | LIVE AUCTION 1533
IMPRESSIONIST/MODERN WORKS ON PAPER"
Claudio Bravo ,Chilean,2011,Beyond,1970,"USD 250,000 – USD 350,000","USD 341,000",(101.9 x 76.2 cm.),25 Nov 2014,"2014 | LIVE AUCTION 2895
LATIN AMERICAN ART"
MARIA HELENA VIEIRA DA SILVA ,1908,1992,Sans titre,0,"EUR 10,000 – EUR 15,000","EUR 35,000",(8¼ x 10¼ in.),5 Jun 2013,"2013 | LIVE AUCTION 3576
ART CONTEMPORAIN"
David Hockney ,1937,0,Henry and Christopher,1973,"GBP 180,000 – GBP 250,000","GBP 187,500",(35.4 x 43.2cm.),7 Mar 2019,"2019 | LIVE AUCTION 16936
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
Simeon Solomon ,1840,1905,The golden headdress,0,"GBP 4,000 – GBP 6,000","GBP 6,000",(22.2 x 19.3 cm.),11 Jul 2018,"2018 | LIVE AUCTION 15506
VICTORIAN PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART"
Tracey Emin ,1963,0,Trust Yourself,2012,"GBP 35,000 – GBP 45,000","GBP 45,000",(28 x 118 x 5cm.),30 Jun 2016,"2016 | LIVE AUCTION 11798
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
CLARENCE JOHN LAUGHLIN ,0,0,"Four works: The Massive Columns no. 1, 1939; Memories of the Miss River Steamboat no. 2, 1939; The Luminous Columns no. 10 Oak Alley Plantation, 1946; and Under the Mighty Oaks no. 1, 1951",0,"USD 4,000 - USD 6,000","USD 2,375",(27.2 x 34.2 cm.),19 Jul 2018,"9 Jul - 19 Jul 2018 | Online Auction 16653
MoMA: Tracing Photography's History"
ABOUDIA ,0,0,Famille Seule (Family Only),2018,"GBP 7,000 - GBP 9,000","GBP 43,750",(143.5 x 150cm.),18 Feb 2020,"7 Feb - 18 Feb 2020 | Online Auction 18459
First Open: Post-War and Contemporary Art Online"
DAMIEN HIRST ,0,0,Ashtray Head/Fallen Empire,1995,"GBP 800,000 – GBP 1,200,000","GBP 1,002,000",(65 x 243.8 x 243.8cm.),1 Mar 2022,"MARCH 1 | LIVE AUCTION 20661
20TH/21ST CENTURY: LONDON EVENING SALE"
Emil Nolde ,1867,1956,Hamburger Hafen,0,"USD 80,000 – USD 120,000","USD 68,750",(30 x 46.8 cm.),10 May 2018,"2018 | LIVE AUCTION 16721
THE COLLECTION OF PEGGY AND DAVID ROCKEFELLER: FINE ART, DAY SALE"
"PARKINSON, Sydney . A Journal of a Voyage to the South Seas, in His Majesty's ship, the Endeavour. London: for Stanfield Parkinson, 1773.",1745,1771,,1778,"GBP 2,500 – GBP 3,500","GBP 2,500",(305 x 249mm),29 Oct 2019,"2019 | LIVE AUCTION 17707
TOPOGRAPHICAL PICTURES INCLUDING SELECTIONS FROM THE KELTON COLLECTION"
Günther Förg ,1952,2013,Untitled,1999,"GBP 200,000 – GBP 300,000","GBP 236,750",(300 x 200cm.),7 Oct 2017,"2017 | LIVE AUCTION 14443
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
Thomas Schütte ,1954,0,Untitled,1982,"GBP 12,000 - GBP 18,000","GBP 15,000",(130.5 x 109 cm.),19 Sep 2017,"7 Sep - 19 Sep 2017 | Online Auction 15873
on paper | online"
FOLLOWER OF SIR ANTHONY VAN DYCK,1622,1685,"Portrait of Lady, traditionally identified as Mary Villiers, Duchess of Richmond and Lennox (1622-1685), full-length, in a blue silk gown and gold cape",0,"GBP 15,000 - GBP 25,000","GBP 8,125",(219.5 x 127.5 cm.),8 Dec 2021,"17 Nov - 8 Dec 2021 | Online Auction 20056
Old Master Paintings and Sculpture: Online"
JOAN MIRÓ ,1893,1983,Le Bijou,0,"USD 3,000 - USD 5,000","USD 8,125",(232 x 289 mm.),19 Nov 2020,"5 Nov - 19 Nov 2020 | Online Auction 18860
Modern Edition"
JASPER JOHNS ,0,0,0 Through 9,0,"USD 3,000 - USD 5,000","USD 3,250",(149 x 118 mm.),20 Jul 2021,"9 Jul - 20 Jul 2021 | Online Auction 20015
Contemporary Edition"
Joan Mitchell ,1925,1992,Untitled,0,"USD 4,000,000 – USD 6,000,000","USD 5,399,500",(194.9 x 185.4 cm.),15 Nov 2016,"2016 | LIVE AUCTION 12156
POST-WAR & CONTEMPORARY ART EVENING SALE"
"ITALIAN SCHOOL, MID-16TH CENTURY",11,16TH,Ornamental study for plaster decoration with arabesques,0,"GBP 600 – GBP 1,000",GBP 563,(11.1 x 51.3 cm.),2 Dec 2014,"2014 | LIVE AUCTION 5877
OLD MASTER AND BRITISH DRAWINGS AND WATERCOLOURS"
BARTOLOMEO CORIOLANO  AFTER GUIDO RENI ,1599,1676,A Sybil sitting at Left; and A Sybil sitting at Centre (two woodcuts),0,"GBP 1,000 - GBP 1,500","GBP 2,125",(B. 2),6 Dec 2018,"28 Nov - 6 Dec 2018 | Online Auction 16534
Old Master Works on Paper: Prints and Drawings for under £5,000"
Wassily Kandinsky ,1866,1944,Ohne Titel (Untitled),1921,"GBP 80,000 – GBP 120,000","GBP 134,500",(23.5 x 23 cm.),5 Feb 2014,"2014 | LIVE AUCTION 1508
IMPRESSIONIST/MODERN WORKS ON PAPER"
Juan Gris ,1887,1927,Guitare et verre,1918,"GBP 60,000 – GBP 80,000","GBP 137,000",(13.4 x 10.2 cm.),28 Jun 2017,"2017 | LIVE AUCTION 14240
IMPRESSIONIST AND MODERN WORKS ON PAPER"
GABRIELE MÜNTER ,1877,1962,Gelbes Haus mit Apfelbaum (recto); Landschaft (verso),1910,"GBP 1,200,000 – GBP 1,800,000","GBP 1,782,000",(41.6 x 50.7 cm.),1 Mar 2022,"MARCH 1 | LIVE AUCTION 20661
20TH/21ST CENTURY: LONDON EVENING SALE"
Jerry Barrett ,1814,1906,The Mission of Mercy: Florence Nightingale receiving the Wounded at Scutari,0,"GBP 30,000 – GBP 50,000","GBP 82,850",(40.7 x 61 cm.),31 May 2012,"2012 | LIVE AUCTION 5326
VICTORIAN & BRITISH IMPRESSIONIST ART"
Francesca Woodman ,1958,1981,"Untitled, Rome, c. 1977-1978",0,"USD 50,000 – USD 70,000","USD 75,000",(14 x 14 cm.),31 Mar 2015,"2015 | LIVE AUCTION 3726
20/21 PHOTOGRAPHS"
HENRI DE TOULOUSE-LAUTREC ,1864,LAUTREC,Divan Japonais,0,"USD 5,000 - USD 7,000","USD 10,625",(787 x 597 mm.),6 Nov 2018,"30 Oct - 6 Nov 2018 | Online Auction 16473
Modern Edition"
Leonora Carrington ,1917,2011,Unloading the catch,0,"USD 5,000 - USD 7,000","USD 21,250",(35.56 x 45.72 cm.),29 May 2019,"18 May - 29 May 2019 | Online Auction 17204
Latin American Art Online"
Pierre-Auguste Renoir ,1841,Auguste,Femme assise (Baigneuse assise vue de dos),0,"USD 80,000 – USD 120,000","USD 187,500",(38.7 x 30.2 cm.),14 May 2021,"2021 | LIVE AUCTION 19810
IMPRESSIONIST & MODERN ART WORKS ON PAPER SALE"
Attributed to Peter Wtewael ,Utrecht,1660,Perseus and Andromeda,0,"GBP 25,000 – GBP 35,000","GBP 32,500",(195.5 x 153.2 cm.),9 Jul 2014,"2014 | LIVE AUCTION 1539
OLD MASTER & BRITISH PAINTINGS DAY SALE"
John Minton ,1917,1957,Midsummer Landscape,0,"GBP 2,500 – GBP 3,500","GBP 8,125",(27 x 37.3 cm.),21 Mar 2018,"2018 | LIVE AUCTION 16044
MODERN | BRITISH & IRISH ART"
ALEXANDER GARDNER ,1821,1882,"Interior Courtyard of Castle Thunder (Confederate Prison), Richmond, Virginia, April 1865",0,"USD 2,000 - USD 3,000","USD 1,500",(15.9 x 20.4 cm.),7 Oct 2021,"24 Sep - 7 Oct 2021 | Online Auction 19957
Photography of the Civil War: Property from The Metropolitan Museum of Art"
Georg Baselitz ,1938,0,Linker Fuß (Left Foot),1998,"GBP 80,000 – GBP 120,000","GBP 121,875",(146 x 114cm.),26 Jun 2013,"2013 | LIVE AUCTION 1135
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
Maurice Utrillo ,1883,1955,Jardin à Montmartre,0,"GBP 10,000 – GBP 15,000","GBP 15,000",(22 x 31.5 cm.),21 Jun 2013,"2013 | LIVE AUCTION 8992
IMPRESSIONIST/MODERN"
CY TWOMBLY ,1928,2011,"No. II, from Natural History Part I: Mushrooms",0,"USD 5,000 – USD 7,000","USD 16,250",(756 x 556 mm.),10 Mar 2021,"2021 | LIVE AUCTION 19622
CONTEMPORARY EDITION"
