Title,Date,Type,Total Sales,Location,URL
Modern British and Irish Art Evening Sale,22-Mar,LIVE AUCTION ,"GBP 25,539,300",LONDON,https://www.christies.com/en/auction/modern-british-and-irish-art-evening-sale-29649/
View Over St. James's Square: A Private Collection,3 – 17 March,ONLINE AUCTION ,"GBP 1,344,168",LONDON,https://onlineonly.christies.com/sso?SaleID=29669&SaleNumber=21048
Laugh now but one day we'll be in charge: Banksy and 21st Century Editions,1 – 15 March,ONLINE AUCTION ,"GBP 2,615,886",LONDON,https://onlineonly.christies.com/sso?SaleID=29503&SaleNumber=20815
Latin American Art,11-Mar,LIVE AUCTION ,"USD 27,741,240",NEW YORK,https://www.christies.com/en/auction/latin-american-art-29155/
Post-War to Present,10-Mar,LIVE AUCTION ,"USD 26,117,178",NEW YORK,https://www.christies.com/en/auction/post-war-to-present-29312/
Contemporary Edition,9-Mar,LIVE AUCTION ,"USD 2,364,390",NEW YORK,https://www.christies.com/en/auction/contemporary-edition-29337/
First Open: Post-War and Contemporary Art Online,23 February – 9 March,ONLINE AUCTION ,"GBP 2,410,758",LONDON,https://onlineonly.christies.com/sso?SaleID=29447&SaleNumber=20662
Impressionist and Modern Art Day and Works on Paper Sale,4-Mar,LIVE AUCTION ,"GBP 19,284,648",LONDON,https://www.christies.com/en/auction/impressionist-and-modern-art-day-and-works-on-paper-sale-29443/
In Ascent: Christie’s x Quantum,22 February – 2 March,ONLINE AUCTION ,"USD 59,850",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29801&SaleNumber=21443
Post-War and Contemporary Art Day Sale,2-Mar,LIVE AUCTION ,"GBP 14,168,940",LONDON,https://www.christies.com/en/auction/post-war-and-contemporary-art-day-sale-29243/
20th/21st Century: London Evening Sale,1-Mar,LIVE AUCTION ,"GBP 182,696,006",LONDON,https://www.christies.com/en/auction/20th-21st-century-london-evening-sale-29446/
20th/21st Century: Shanghai Evening Sale,1-Mar,LIVE AUCTION ,"CNY 222,030,200",SHANGHAI,https://www.christies.com/en/auction/20th-21st-century-shanghai-evening-sale-29304/
OCEANIA NOW : Contemporary Art from the Pacific,11 February – 1 March,ONLINE AUCTION ,"EUR 230,202",PARIS,https://onlineonly.christies.com/sso?SaleID=29703&SaleNumber=21082
The Art of the Surreal Evening Sale,1-Mar,LIVE AUCTION ,"GBP 39,888,380",LONDON,https://www.christies.com/en/auction/the-art-of-the-surreal-evening-sale-29515/
Latin American Art Online,4 – 18 February,ONLINE AUCTION ,"USD 1,538,125",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29770&SaleNumber=21269
The Collector,27 January – 10 February,ONLINE AUCTION ,"GBP 2,424,500",LONDON,https://onlineonly.christies.com/sso?SaleID=29675&SaleNumber=21054
Old Master & British Drawings,14 – 28 January,ONLINE AUCTION ,"USD 1,424,125",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29139&SaleNumber=19981
The Collection of Pierre Durand,27-Jan,LIVE AUCTION ,"USD 4,885,750",NEW YORK,https://www.christies.com/en/auction/the-collection-of-pierre-durand-29550/
Au Bord Du Lac: An interior by François-Joseph Graf,26-Jan,LIVE AUCTION ,"GBP 3,138,875",LONDON,https://www.christies.com/en/auction/au-bord-du-lac-an-interior-by-fran-ois-joseph-graf-29578/
20th/21st Century Art Online Sale,11 – 21 January,ONLINE AUCTION ,"HKD 30,318,750",HONG KONG,https://onlineonly.christies.com/sso?SaleID=29545&SaleNumber=20892
19th Century American Art,19-Jan,LIVE AUCTION ,"USD 4,967,375",NEW YORK,https://www.christies.com/en/auction/19th-century-american-art-29488/
British and European Art,2 – 16 December,ONLINE AUCTION ,"GBP 3,053,875",LONDON,https://onlineonly.christies.com/sso?SaleID=29258&SaleNumber=20112
Image World | Contemporary Art from a Private American Collection,3 – 16 December,ONLINE AUCTION ,"USD 1,006,000",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29730&SaleNumber=21111
First Open | Post-War & Contemporary Art,3 – 15 December,ONLINE AUCTION ,"USD 5,589,750",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29239&SaleNumber=20094
Old Master Prints,9-Dec,LIVE AUCTION ,"GBP 3,120,000",LONDON,https://www.christies.com/en/auction/old-master-prints-29206/
"The Collection of Victoria, Lady de Rothschild",18 November – 9 December,ONLINE AUCTION ,"GBP 3,761,750",LONDON,https://onlineonly.christies.com/sso?SaleID=29187&SaleNumber=20040
Old Master Paintings and Sculpture,17 November – 8 December,ONLINE AUCTION ,"GBP 1,953,500",LONDON,https://onlineonly.christies.com/sso?SaleID=29202&SaleNumber=20056
Old Masters Evening Sale,7-Dec,LIVE AUCTION ,"GBP 10,413,500",LONDON,https://www.christies.com/en/auction/old-masters-evening-sale-29200/
Post War & Contemporary Art online sale,23 November – 6 December,ONLINE AUCTION ,"EUR 2,412,250",PARIS,https://onlineonly.christies.com/sso?SaleID=29222&SaleNumber=20076
Post War & Contemporary Art,3-Dec,LIVE AUCTION ,"EUR 16,961,250",PARIS,https://www.christies.com/en/auction/post-war-contemporary-art-29234/
20th/21st Century: Amsterdam,11 – 25 November,ONLINE AUCTION ,"EUR 2,288,500",AMSTERDAM,https://onlineonly.christies.com/sso?SaleID=29193&SaleNumber=20049
The Collector : Le Goût Français,16 – 24 November,ONLINE AUCTION ,"EUR 2,444,375",PARIS,https://onlineonly.christies.com/sso?SaleID=29230&SaleNumber=20084
A Thousand Roads: A Private Collection in Rome,9 – 23 November,ONLINE AUCTION ,"EUR 2,739,625",AMSTERDAM,https://onlineonly.christies.com/sso?SaleID=29563&SaleNumber=20927
Dalva Brothers II,23-Nov,LIVE AUCTION ,"EUR 2,061,875",PARIS,https://www.christies.com/en/auction/dalva-brothers-ii-29236/
The Exceptional Sale,23-Nov,LIVE AUCTION ,"EUR 13,383,000",PARIS,https://www.christies.com/en/auction/the-exceptional-sale-29229/
"De Chardin à Prud'hon, Tableaux et Dessins provenant des collections Marcille",22-Nov,LIVE AUCTION ,"EUR 7,902,750",PARIS,https://www.christies.com/en/auction/de-chardin-prud-hon-tableaux-et-dessins-provenant-des-collections-marcille-29476/
Chicago Classical: A Private Collection,5 – 19 November,ONLINE AUCTION ,"USD 844,625",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29486&SaleNumber=20770
High Style in Highland Park: The Collection of Mr. & Mrs. Edwin L. Cox,5 – 19 November,ONLINE AUCTION ,"USD 1,302,000",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29485&SaleNumber=20769
20th/21st Century Milan Online Sale,8 – 18 November,ONLINE AUCTION ,"EUR 568,875",MILAN,https://onlineonly.christies.com/sso?SaleID=29478&SaleNumber=20732
A Graphic Century (1875-1975),4 – 18 November,ONLINE AUCTION ,"USD 1,319,375",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29461&SaleNumber=20567
American Art,18-Nov,LIVE AUCTION ,"USD 28,931,500",NEW YORK,https://www.christies.com/en/auction/american-art-29154/
20th/21st Century Milan Evening Sale,16-Nov,LIVE AUCTION ,"EUR 8,240,625",MILAN,https://www.christies.com/en/auction/20th-21st-century-milan-evening-sale-29435/
The Collector,2 – 16 November,ONLINE AUCTION ,"GBP 2,591,125",LONDON,https://onlineonly.christies.com/sso?SaleID=29125&SaleNumber=19968
Picasso Ceramics Online,1 – 15 November,ONLINE AUCTION ,"USD 1,664,000",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28577&SaleNumber=18804
Impressionist and Modern Art Day Sale,13-Nov,LIVE AUCTION ,"USD 29,330,000",NEW YORK,https://www.christies.com/en/auction/impressionist-and-modern-art-day-sale-29290/
Impressionist and Modern Art Works on Paper Sale,13-Nov,LIVE AUCTION ,"USD 13,019,875",NEW YORK,https://www.christies.com/en/auction/impressionist-and-modern-art-works-on-paper-sale-29289/
Post-War and Contemporary Art Day Sale,12-Nov,LIVE AUCTION ,"USD 94,180,125",NEW YORK,https://www.christies.com/en/auction/post-war-and-contemporary-art-day-sale-29242/
20th Century Evening Sale,11-Nov,LIVE AUCTION ,"USD 419,866,500",NEW YORK,https://www.christies.com/en/auction/20th-century-evening-sale-29288/
"The Cox Collection: The Story of Impressionism, Evening Sale",11-Nov,LIVE AUCTION ,"USD 332,031,500",NEW YORK,https://www.christies.com/en/auction/the-cox-collection-the-story-of-impressionism-evening-sale-29332/
Mackinnon: Fine Furniture and Works of Art,10-Nov,LIVE AUCTION ,"GBP 1,615,500",LONDON,https://www.christies.com/en/auction/mackinnon-fine-furniture-and-works-of-art-29493/
21st Century Evening Sale,9-Nov,LIVE AUCTION ,"USD 219,278,750",NEW YORK,https://www.christies.com/en/auction/21st-century-evening-sale-29240/
Photographies,9-Nov,LIVE AUCTION ,"EUR 1,357,500",PARIS,https://www.christies.com/en/auction/photographies-29035/
"Collection Daniel Lebard, sous le prisme de la modernité",2 – 3 November,LIVE AUCTION ,"EUR 31,607,000",PARIS,https://www.christies.com/en/auction/collection-daniel-lebard-sous-le-prisme-de-la-modernit-29335/
BALTHUS: 46 oeuvres provenant de la collection de Stanislas Klossowski de Rola,15 – 28 October,ONLINE AUCTION ,"EUR 328,125",PARIS,https://onlineonly.christies.com/sso?SaleID=29547&SaleNumber=20897
Art Moderne,22-Oct,LIVE AUCTION ,"EUR 11,332,125",PARIS,https://www.christies.com/en/auction/art-moderne-29228/
Prints & Multiples,21 – 22 October,LIVE AUCTION ,"USD 14,651,375",NEW YORK,https://www.christies.com/en/auction/prints-multiples-29153/
Modern British and Irish Art Day Sale,21-Oct,LIVE AUCTION ,"GBP 6,332,500",LONDON,https://www.christies.com/en/auction/modern-british-and-irish-art-day-sale-29170/
Paris Avant-garde,21-Oct,LIVE AUCTION ,"EUR 20,179,250",PARIS,https://www.christies.com/en/auction/paris-avant-garde-29226/
Collection Gerard Valkier : A lifetime journey with Art.,20-Oct,LIVE AUCTION ,"EUR 6,572,250",PARIS,https://www.christies.com/en/auction/collection-gerard-valkier-a-lifetime-journey-with-art-29487/
Modern British and Irish Art Evening Sale,20-Oct,LIVE AUCTION ,"GBP 15,380,500",LONDON,https://www.christies.com/en/auction/modern-british-and-irish-art-evening-sale-29169/
"The Collector: English & European Furniture, Ceramics, Silver & Works of Art",5 – 20 October,ONLINE AUCTION ,"USD 4,014,000",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29146&SaleNumber=19989
First Open: Post-War and Contemporary Art Online,5 – 19 October,ONLINE AUCTION ,"GBP 2,984,000",LONDON,https://onlineonly.christies.com/sso?SaleID=29038&SaleNumber=19842
No Regrets: The Collectors' Edition,1 – 18 October,ONLINE AUCTION ,"GBP 204,750",LONDON,https://onlineonly.christies.com/sso?SaleID=29725&SaleNumber=21105
Post-War and Contemporary Art Day Sale,16-Oct,LIVE AUCTION ,"GBP 16,168,250",LONDON,https://www.christies.com/en/auction/post-war-and-contemporary-art-day-sale-29217/
"20th/21st Century: Evening Sale Including Thinking Italian, London",15-Oct,LIVE AUCTION ,"GBP 64,561,000",LONDON,https://www.christies.com/en/auction/20th-21st-century-evening-sale-including-thinking-italian-london-29218/
European Art Part II,1 – 15 October,ONLINE AUCTION ,"USD 1,363,125",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29148&SaleNumber=19991
Always in Style: Old Master Drawings from the Collection of Herbert Kasper,14-Oct,LIVE AUCTION ,"USD 6,145,250",NEW YORK,https://www.christies.com/en/auction/always-in-style-old-master-drawings-from-the-collection-of-herbert-kasper-28867/
Old Master Paintings and Sculpture,14-Oct,LIVE AUCTION ,"USD 19,535,125",NEW YORK,https://www.christies.com/en/auction/old-master-paintings-and-sculpture-29151/
European Art Part I,13-Oct,LIVE AUCTION ,"USD 10,049,250",NEW YORK,https://www.christies.com/en/auction/european-art-part-i-29147/
"L'art à fleur de peau, parcours d'une collectionneuse",13-Oct,LIVE AUCTION ,"EUR 5,669,875",PARIS,https://www.christies.com/en/auction/l-art-fleur-de-peau-parcours-d-une-collectionneuse-29648/
Photography of the Civil War: Property from The Metropolitan Museum of Art,24 September – 7 October,ONLINE AUCTION ,"USD 257,625",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29119&SaleNumber=19957
Photographs,6-Oct,LIVE AUCTION ,"USD 4,776,125",NEW YORK,https://www.christies.com/en/auction/photographs-28946/
An Aesthetic Odyssey: The Peter Rose and Albert Gallichan Collection,30-Sep,LIVE AUCTION ,"GBP 2,135,375",LONDON,https://www.christies.com/en/auction/an-aesthetic-odyssey-the-peter-rose-and-albert-gallichan-collection-29185/
No Time Like Present,17 – 28 September,ONLINE AUCTION ,"HKD 121,642,750",HONG KONG,https://onlineonly.christies.com/sso?SaleID=29552&SaleNumber=20909
Prints & Multiples,16 – 28 September,ONLINE AUCTION ,"GBP 3,274,125",LONDON,https://onlineonly.christies.com/sso?SaleID=29001&SaleNumber=19776
Droit de regard. Collection Pierre Rochelois,27-Sep,LIVE AUCTION ,"EUR 4,156,000",PARIS,https://www.christies.com/en/auction/droit-de-regard-collection-pierre-rochelois-29548/
Banksy: I can't believe you morons actually buy this sh*t,9 – 23 September,ONLINE AUCTION ,"GBP 1,536,250",LONDON,https://onlineonly.christies.com/sso?SaleID=29205&SaleNumber=20059
Picasso Ceramics,10 – 22 September,ONLINE AUCTION ,"GBP 1,633,125",LONDON,https://onlineonly.christies.com/sso?SaleID=28471&SaleNumber=18359
Jasper Conran: The Collection Part II,1 – 21 September,ONLINE AUCTION ,"GBP 873,750",LONDON,https://onlineonly.christies.com/sso?SaleID=29306&SaleNumber=20209
A Graphic Dialogue: Prints from the Collection of Lois B. Torf Online,2 – 16 September,ONLINE AUCTION ,"USD 427,500",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29481&SaleNumber=20747
A Graphic Dialogue: Prints from the Collection of Lois B. Torf,15-Sep,LIVE AUCTION ,"USD 5,041,375",NEW YORK,https://www.christies.com/en/auction/a-graphic-dialogue-prints-from-the-collection-of-lois-b-torf-29480/
Jasper Conran: The Collection Part I,14-Sep,LIVE AUCTION ,"GBP 5,835,500",LONDON,https://www.christies.com/en/auction/jasper-conran-the-collection-part-i-29171/
Inside Job: The New York Edition,25 August – 2 September,ONLINE AUCTION ,"USD 38,000",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29423&SaleNumber=20595
Misha Kahn: Furniture Unhinged,18 – 24 August,ONLINE AUCTION ,"USD 166,875",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29543&SaleNumber=20887
Jewels Online: Summer Sparkle,4 – 18 August,ONLINE AUCTION ,"USD 5,099,000",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29282&SaleNumber=20171
Latin American Art Online,9 – 23 July,ONLINE AUCTION ,"USD 1,362,125",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28907&SaleNumber=19603
Superplastic: The Janky Heist,9 – 22 July,ONLINE AUCTION ,"USD 197,500",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29540&SaleNumber=20882
Trespassing,9 – 22 July,ONLINE AUCTION ,"USD 2,517,375",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29316&SaleNumber=20281
First Open | Post-War & Contemporary Art,9 – 21 July,ONLINE AUCTION ,"USD 5,195,125",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29067&SaleNumber=19886
Contemporary Edition,9 – 20 July,ONLINE AUCTION ,"USD 2,294,125",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29165&SaleNumber=20015
British and European Art,15-Jul,LIVE AUCTION ,"GBP 5,266,375",LONDON,https://www.christies.com/en/auction/british-and-european-art-29257/
The Collection of Rita Espirito Santo and Three Private European Collections,21 June – 12 July,ONLINE AUCTION ,"GBP 609,875",LONDON,https://onlineonly.christies.com/sso?SaleID=29264&SaleNumber=20121
Old Master Paintings and Sculpture Online,18 June – 9 July,ONLINE AUCTION ,"GBP 2,137,500",LONDON,https://onlineonly.christies.com/sso?SaleID=29201&SaleNumber=20054
The B.J. Eastwood Collection: Important Sporting and Irish Pictures,9-Jul,LIVE AUCTION ,"GBP 14,187,750",LONDON,https://www.christies.com/en/auction/the-b-j-eastwood-collection-important-sporting-and-irish-pictures-29444/
Old Masters Evening Sale,8-Jul,LIVE AUCTION ,"GBP 45,083,250",LONDON,https://www.christies.com/en/auction/old-masters-evening-sale-29199/
The Exceptional Sale,8-Jul,LIVE AUCTION ,"GBP 19,465,000",LONDON,https://www.christies.com/en/auction/the-exceptional-sale-28840/
First Open: Post-War and Contemporary Art Online,24 June – 7 July,ONLINE AUCTION ,"GBP 1,016,100",LONDON,https://onlineonly.christies.com/sso?SaleID=28796&SaleNumber=19114
Old Master and British Drawings and Watercolours including a Fine Collection of Old Master Prints,6-Jul,LIVE AUCTION ,"GBP 3,052,375",LONDON,https://www.christies.com/en/auction/old-master-and-british-drawings-and-watercolours-including-a-fine-collection-of-old-master-prints-28841/
Post War and Contemporary Art Day Sale,2-Jul,LIVE AUCTION ,"GBP 11,174,250",LONDON,https://www.christies.com/en/auction/post-war-and-contemporary-art-day-sale-29213/
Impressionist and Modern Art Day and Works on Paper Sale,1-Jul,LIVE AUCTION ,"GBP 8,923,375",LONDON,https://www.christies.com/en/auction/impressionist-and-modern-art-day-and-works-on-paper-sale-28880/
Treasures of a Storied Manhattan Collection,15 June – 1 July,ONLINE AUCTION ,"USD 1,584,375",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29406&SaleNumber=20533
20th/21st Century: Collection Francis Gross,30-Jun,LIVE AUCTION ,"EUR 26,490,250",PARIS,https://www.christies.com/en/auction/20th-21st-century-collection-francis-gross-29349/
20th/21st Century: London Evening Sale,30-Jun,LIVE AUCTION ,"GBP 119,299,545",LONDON,https://www.christies.com/en/auction/20th-21st-century-london-evening-sale-29215/
20th/21st Century: Paris vente du soir,30-Jun,LIVE AUCTION ,"EUR 13,324,000",PARIS,https://www.christies.com/en/auction/20th-21st-century-paris-vente-du-soir-29221/
"Hello, i'm Victor (FEWOCiOUS) and This Is My Life",25 – 30 June,ONLINE AUCTION ,"USD 2,162,500",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29427&SaleNumber=20616
Photographies,29-Jun,LIVE AUCTION ,"EUR 1,204,875",PARIS,https://www.christies.com/en/auction/photographies-29224/
Vince Camuto: Designer and Collector,15 – 29 June,ONLINE AUCTION ,"USD 1,482,375",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29307&SaleNumber=20210
"Matisse on Paper: Prints & Drawings from the Estate of Jacquelyn Miller Matisse, Online",9 – 23 June,ONLINE AUCTION ,"USD 970,875",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29399&SaleNumber=20525
The Hekking Mona Lisa,11 – 18 June,ONLINE AUCTION ,"EUR 2,900,000",PARIS,https://onlineonly.christies.com/sso?SaleID=29324&SaleNumber=20348
"Maîtres Anciens, Peinture - Sculpture",16-Jun,LIVE AUCTION ,"EUR 3,676,625",PARIS,https://www.christies.com/en/auction/ma-tres-anciens-peinture-sculpture-29132/
Women in art,16-Jun,LIVE AUCTION ,"EUR 3,090,750",PARIS,https://www.christies.com/en/auction/women-in-art-28914/
La Rêverie: The Collection of Sydell Miller,10-Jun,LIVE AUCTION ,"USD 17,956,500",NEW YORK,https://www.christies.com/en/auction/la-r-verie-the-collection-of-sydell-miller-29141/
Post War & Contemporary Art,3-Jun,LIVE AUCTION ,"EUR 8,179,625",PARIS,https://www.christies.com/en/auction/post-war-contemporary-art-29037/
PROOF OF SOVEREIGNTY: A Curated NFT Sale by Lady PheOnix,25 May – 3 June,ONLINE AUCTION ,"USD 978,750",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29454&SaleNumber=20669
"De la fonction à la COLLECTION, STÉPHANE DANANT une passion pour le design et l'art français des années 1955-1975.",1-Jun,LIVE AUCTION ,"EUR 1,672,500",PARIS,https://www.christies.com/en/auction/de-la-fonction-la-collection-st-phane-danant-une-passion-pour-le-design-et-l-art-fran-ais-des-ann-es-1955-1975-29425/
Andy Warhol: Machine Made,19 – 27 May,ONLINE AUCTION ,"USD 3,377,500",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29434&SaleNumber=20626
Collection Marion Lambert. Vente en ligne,11 – 27 May,ONLINE AUCTION ,"EUR 431,000",PARIS,https://onlineonly.christies.com/sso?SaleID=29273&SaleNumber=20147
Post-War and Contemporary Art Amsterdam,13 – 27 May,ONLINE AUCTION ,"EUR 1,671,250",AMSTERDAM,https://onlineonly.christies.com/sso?SaleID=28998&SaleNumber=19769
Collection Marion Lambert,25 – 26 May,LIVE AUCTION ,"EUR 8,315,000",PARIS,https://www.christies.com/en/auction/collection-marion-lambert-28869/
The Curator's Eye: The Collection of Professor Dr Karin von Maur,11 – 25 May,ONLINE AUCTION ,"EUR 2,031,625",AMSTERDAM,https://onlineonly.christies.com/sso?SaleID=29325&SaleNumber=20353
Fields of Vision: The Private Collection of Artists Wolf Kahn and Emily Mason Online Sale,6 – 20 May,ONLINE AUCTION ,"USD 589,625",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29397&SaleNumber=20519
The Collector: Online,29 April – 20 May,ONLINE AUCTION ,"GBP 940,125",LONDON,https://onlineonly.christies.com/sso?SaleID=29013&SaleNumber=19799
Latin American Art,19-May,LIVE AUCTION ,"USD 9,419,000",NEW YORK,https://www.christies.com/en/auction/latin-american-art-28906/
The Collector: Live,19-May,LIVE AUCTION ,"GBP 3,547,125",LONDON,https://www.christies.com/en/auction/the-collector-live-29012/
American Art,18-May,LIVE AUCTION ,"USD 9,023,750",NEW YORK,https://www.christies.com/en/auction/american-art-29041/
Fields of Vision: The Private Collection of Artists Wolf Kahn and Emily Mason Live Sale,18-May,LIVE AUCTION ,"USD 8,122,375",NEW YORK,https://www.christies.com/en/auction/fields-of-vision-the-private-collection-of-artists-wolf-kahn-and-emily-mason-live-sale-29396/
Picasso Ceramics,3 – 17 May,ONLINE AUCTION ,"USD 2,567,750",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28576&SaleNumber=18803
Impressionist & Modern Art Day Sale,14-May,LIVE AUCTION ,"USD 11,162,500",NEW YORK,https://www.christies.com/en/auction/impressionist-modern-art-day-sale-29019/
Impressionist & Modern Art Works on Paper Sale,14-May,LIVE AUCTION ,"USD 9,807,500",NEW YORK,https://www.christies.com/en/auction/impressionist-modern-art-works-on-paper-sale-29018/
Post-War & Contemporary Art Day Sale,14-May,LIVE AUCTION ,"USD 60,149,500",NEW YORK,https://www.christies.com/en/auction/post-war-contemporary-art-day-sale-29157/
20th Century Evening Sale,13-May,LIVE AUCTION ,"USD 481,114,000",NEW YORK,https://www.christies.com/en/auction/20th-century-evening-sale-29017/
21st Century Evening Sale,11-May,LIVE AUCTION ,"USD 210,471,500",NEW YORK,https://www.christies.com/en/auction/21st-century-evening-sale-29156/
Reborn: Modern and Contemporary,22 April – 6 May,ONLINE AUCTION ,"EUR 1,796,375",MILAN,https://onlineonly.christies.com/sso?SaleID=29318&SaleNumber=20300
Wisdom and Nature,6 – 27 April,ONLINE AUCTION ,"GBP 167,625",LONDON,https://onlineonly.christies.com/sso?SaleID=29356&SaleNumber=20460
Old Masters Part II,8 – 23 April,ONLINE AUCTION ,"USD 2,908,375",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28982&SaleNumber=19740
The Kagan Collection,8 – 23 April,ONLINE AUCTION ,"USD 240,625",NEW YORK,https://onlineonly.christies.com/sso?SaleID=29355&SaleNumber=20459
Old Masters,22-Apr,LIVE AUCTION ,"USD 17,966,250",NEW YORK,https://www.christies.com/en/auction/old-masters-28981/
European Art,21-Apr,LIVE AUCTION ,"USD 3,869,375",NEW YORK,https://www.christies.com/en/auction/european-art-28972/
The 20th Century Art Online Sale,7 – 19 April,ONLINE AUCTION ,"EUR 756,375",PARIS,https://onlineonly.christies.com/sso?SaleID=29033&SaleNumber=19832
Prints & Multiples,15 – 16 April,LIVE AUCTION ,"USD 6,003,250",NEW YORK,https://www.christies.com/en/auction/prints-multiples-28948/
The Collection of Mrs. Henry Ford II: Eaton Square and Turville Grange,15-Apr,LIVE AUCTION ,"GBP 3,988,938",LONDON,https://www.christies.com/en/auction/the-collection-of-mrs-henry-ford-ii-eaton-square-and-turville-grange-29173/
Oeuvres modernes sur papier / Art Impressionniste et Moderne,14-Apr,LIVE AUCTION ,"EUR 10,347,375",PARIS,https://www.christies.com/en/auction/oeuvres-modernes-sur-papier-art-impressionniste-et-moderne-29032/
Ansel Adams and the American West,25 March – 8 April,ONLINE AUCTION ,"USD 806,250",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28852&SaleNumber=19509
Photographs,6-Apr,LIVE AUCTION ,"USD 2,193,625",NEW YORK,https://www.christies.com/en/auction/photographs-28947/
Banksy: I can't believe you morons actually buy this sh*t,16 March – 1 April,ONLINE AUCTION ,"GBP 4,408,750",LONDON,https://onlineonly.christies.com/sso?SaleID=29276&SaleNumber=20157
